date,Kejadian,Penyebab,Keterangan,Lokasi,Posisi,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-05-20,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.2,0.6,1.8,4.4,0.0,4.4,1.0
2020-05-21,Tidak Banjir,,,Cilacap,,1.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.3,0.2
2020-05-22,Tidak Banjir,,,Cilacap,,0.0,0.0,0.1,0.2,0.0,1.0,3.7,0.0,3.7,0.7142857142857143
2020-05-23,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.3,0.4714285714285714
2020-05-25,Banjir,,Korban Jiwa : • ± 50 KK terdampak Kerugian Materil : • ± 40 unit rumah terendam banjir (Pendataan) • ± 20 Ha Area tambak terdampak banjir • ± 10 Ha tanaman padi terdampak • TMA 20 – 60 cm di pemukiman,Cilacap,"-7.96091, 108.85761",0.0,0.0,0.0,0.0,0.0,3.4,1.2,0.0,3.4,0.6571428571428571
2020-05-26,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.2,0.0,0.1,1.6,0.0,1.6,0.2714285714285714
2020-05-27,Tidak Banjir,,,Cilacap,,0.0,0.0,0.5,1.4,0.2,3.4,0.6,0.0,3.4,0.8714285714285713
2020-05-28,Tidak Banjir,,,Cilacap,,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.0714285714285714
2020-05-29,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0428571428571428
2020-05-30,Tidak Banjir,,,Cilacap,,0.0,0.0,0.1,0.0,2.2,2.0,2.0,0.0,2.2,0.9000000000000001
2020-05-31,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.2,1.8,0.6,3.9,0.0,3.9,0.9285714285714286
2020-06-01,Tidak Banjir,,,Cilacap,,0.2,0.0,0.2,0.3,0.4,0.3,2.2,0.0,2.2,0.5142857142857143
2020-06-02,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,1.0,2.1,0.5,0.0,0.0,2.1,0.5142857142857143
2020-06-03,Banjir,,TMA 30 - 100 cm,Cilacap,"-7.48938, 108.94362",0.0,0.0,0.0,0.3,0.0,1.4,1.3,0.0,1.4,0.4285714285714285
2020-06-04,Tidak Banjir,,,Cilacap,,0.1,0.2,0.0,0.3,0.2,0.1,0.0,0.0,0.3,0.1285714285714286
2020-06-05,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.3,0.0714285714285714
2020-06-06,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0857142857142857
2020-06-07,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,1.7,1.9,2.2,0.0,2.2,0.8285714285714285
2020-06-08,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.6,1.5,0.0,1.5,0.3
2020-06-09,Tidak Banjir,,,Cilacap,,0.0,1.0,0.4,0.0,0.0,1.3,0.0,0.0,1.3,0.3857142857142857
2020-06-10,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.3,0.0571428571428571
2020-06-11,Tidak Banjir,,,Cilacap,,0.1,0.0,0.0,0.0,1.1,1.2,1.4,0.0,1.4,0.5428571428571429
2020-06-12,Tidak Banjir,,,Cilacap,,0.0,0.3,0.0,0.0,0.0,0.0,1.2,0.0,1.2,0.2142857142857142
2020-06-13,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4,0.1999999999999999
2020-06-14,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.0428571428571428
2020-06-16,Tidak Banjir,,,Cilacap,,0.0,0.4,0.0,0.1,0.6,0.0,0.0,0.0,0.6,0.1571428571428571
2020-06-17,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0285714285714285
2020-06-18,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.2,0.8,0.4,0.0,0.8,0.1999999999999999
2020-06-19,Tidak Banjir,,,Cilacap,,0.9,0.1,0.4,0.0,0.0,0.7,2.0,0.0,2.0,0.5857142857142856
2020-06-20,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0857142857142857
